Number One,Number Two,Their GCD,Time Spent (nanoseconds)
259,93,1,8300
279,680,1,25000
970,23,1,3400
738,505,1,48500
862,101,1,8500
897,610,1,57500
526,785,1,50500
459,274,1,24100
444,303,3,27300
168,766,2,15300
988,282,2,26200
417,471,3,38000
823,24,1,4100
352,625,1,33500
377,792,1,33400
676,962,26,64900
860,430,430,39900
629,21,1,3300
833,366,1,34200
130,441,1,11900
585,53,1,6300
858,874,2,84500
158,717,1,12900
215,933,1,19800
943,182,1,19100
229,800,1,19100
157,39,1,4300
758,276,2,26100
688,7,1,2800
698,280,2,26200
499,449,1,43200
900,825,75,247200
345,443,1,99700
469,456,1,124700
696,690,6,66400
201,867,3,16000
679,446,1,39700
248,826,2,19000
294,614,2,25800
247,861,1,21100
981,339,3,30400
397,277,1,24600
671,572,11,53900
934,293,1,25400
633,595,1,55800
463,506,1,42100
816,552,24,54700
501,333,3,29600
594,270,54,25100
642,463,1,44300
354,670,2,31200
273,311,1,24300
799,327,1,28600
66,409,1,6900
367,676,1,32900
255,412,1,23200
160,391,1,13100
102,9,3,2300
873,852,3,82900
514,542,2,46200
619,581,1,58100
607,368,1,32100
186,961,31,16800
830,903,1,85000
79,692,1,7700
814,247,1,21600
729,580,1,53800
750,674,2,70500
948,793,1,79400
999,763,1,80700
460,740,20,53000
214,118,2,12100
815,194,1,17300
310,177,1,14700
228,381,3,18400
561,377,1,51400
790,855,5,81200
290,68,2,7500
452,408,4,53000
995,3,1,5400
487,596,1,135200
96,514,2,22800
88,212,4,20600
542,862,2,151500
326,647,1,61400
669,895,1,180400
777,336,21,79100
559,325,13,64400
709,631,1,219900
44,929,1,11500
433,84,1,14900
144,44,4,15200
618,25,1,12200
86,949,1,27500
494,536,2,132400
778,29,1,13700
979,589,1,179200
896,943,1,257200
898,179,1,40800
967,452,1,113100
60,605,5,15900
128,953,1,39700
17,885,1,7000
646,272,34,64000
554,582,2,139900
721,576,1,147600
274,388,2,60000
336,858,6,79000
596,484,4,119000
602,71,1,19400
658,246,2,50400
155,865,5,32400
641,748,1,181800
987,846,141,243300
281,97,1,17800
877,11,1,5900
94,503,1,24000
577,326,1,77400
855,445,5,112500
430,991,1,105500
138,570,6,37700
100,805,5,24100
660,912,12,195200
77,645,1,21900
623,308,7,70100
103,322,1,24100
931,782,1,210900
481,317,1,72800
845,422,1,100700
764,225,1,46000
468,295,1,44600
480,657,3,53000
265,492,1,22900
980,290,10,23600
387,174,3,14900
74,114,2,9000
55,40,5,4600
24,213,3,3200
889,185,1,13800
565,726,1,64800
916,451,1,39100
204,453,3,17600
368,26,2,3800
483,440,1,40000
461,824,1,41200
911,88,1,8400
395,309,1,27500
847,554,1,53300
440,423,1,37400
834,711,3,67400
166,746,2,14000
538,985,1,52400
83,14,1,2700
614,966,2,61500
380,829,1,32900
537,353,1,32400
599,192,1,17100
154,932,2,14200
