Number One,Number Two,Their GCD,Time Spent (nanoseconds)
279,680,1,2300
970,23,1,2400
738,505,1,2800
862,101,1,2800
897,610,1,2400
526,785,1,2400
459,274,1,2500
444,303,3,2100
168,766,2,2400
988,282,2,2100
417,471,3,2100
823,24,1,2000
352,625,1,2600
377,792,1,2700
676,962,26,1900
860,430,430,1000
629,21,1,2200
833,366,1,2500
130,441,1,2300
585,53,1,2200
858,874,2,2100
158,717,1,3000
215,933,1,3100
943,182,1,3000
229,800,1,2200
157,39,1,2100
758,276,2,2200
688,7,1,2100
698,280,2,2200
499,449,1,2500
900,825,75,1800
345,443,1,2400
469,456,1,2500
696,690,6,1800
201,867,3,3000
679,446,1,2800
248,826,2,2000
294,614,2,2600
247,861,1,2600
981,339,3,2400
397,277,1,2400
671,572,11,2700
934,293,1,2600
633,595,1,2400
463,506,1,2400
816,552,24,1900
501,333,3,1600
594,270,54,1500
642,463,1,2100
354,670,2,2700
273,311,1,2700
799,327,1,2200
66,409,1,3400
367,676,1,2700
255,412,1,2200
160,391,1,2100
102,9,3,1600
873,852,3,2000
514,542,2,2400
619,581,1,2400
607,368,1,2400
186,961,31,2100
830,903,1,2500
79,692,1,2600
814,247,1,2600
729,580,1,2700
750,674,2,2600
948,793,1,2900
999,763,1,2700
460,740,20,2100
214,118,2,2300
815,194,1,2900
310,177,1,1800
228,381,3,1800
561,377,1,2400
790,855,5,2300
290,68,2,2400
452,408,4,2200
995,3,1,1700
487,596,1,3000
96,514,2,2600
88,212,4,2000
542,862,2,2300
326,647,1,2600
669,895,1,3400
777,336,21,2200
559,325,13,1700
709,631,1,2800
44,929,1,3200
433,84,1,3000
144,44,4,1500
618,25,1,2400
86,949,1,2500
494,536,2,2600
778,29,1,17000
979,589,1,2600
896,943,1,2800
898,179,1,2300
967,452,1,2900
60,605,5,2100
128,953,1,3000
17,885,1,2200
646,272,34,1400
554,582,2,2200
721,576,1,2600
274,388,2,2300
336,858,6,2300
596,484,4,2500
602,71,1,3000
658,246,2,2300
155,865,5,2300
641,748,1,2400
987,846,141,1600
281,97,1,2100
877,11,1,2100
94,503,1,2800
577,326,1,2600
855,445,5,2300
430,991,1,2700
138,570,6,2500
100,805,5,2700
660,912,12,1700
77,645,1,2600
623,308,7,1800
103,322,1,2500
931,782,1,3000
481,317,1,2700
845,422,1,1800
764,225,1,2500
468,295,1,2500
480,657,3,2400
265,492,1,2900
980,290,10,2200
387,174,3,3000
74,114,2,2200
55,40,5,1400
24,213,3,2500
889,185,1,3400
565,726,1,2300
916,451,1,2600
204,453,3,2500
368,26,2,2500
483,440,1,2800
461,824,1,2300
911,88,1,3200
395,309,1,2500
847,554,1,3200
440,423,1,2600
834,711,3,3300
166,746,2,2800
538,985,1,3400
83,14,1,2700
614,966,2,2900
380,829,1,2600
537,353,1,2900
599,192,1,2800
154,932,2,2800
