Number One,Number Two,Their GCD,Time Spent (nanoseconds)
969,454,1,3300
216,415,1,4400
797,997,1,3700
334,760,2,4600
261,568,1,3100
398,119,1,3300
410,48,2,2700
976,709,1,4600
593,944,1,4900
869,113,1,4000
327,160,1,2700
330,854,2,4100
472,956,4,2400
656,49,1,3500
191,96,1,2000
888,621,3,3200
747,662,1,4700
152,444,4,3300
81,836,1,3300
50,201,1,2100
968,856,8,3200
521,963,1,4500
655,195,5,3300
406,436,2,3200
7,716,1,2400
12,870,6,2100
346,934,2,3300
64,169,1,4300
990,708,6,2900
664,180,4,3200
454,126,2,3400
909,745,1,4100
3,820,1,2100
457,628,1,4100
770,661,1,3300
135,881,1,3200
205,399,1,4000
699,477,3,3700
826,666,2,3100
143,753,1,3600
391,771,1,3800
716,553,1,4000
34,612,34,1600
927,585,9,3400
414,702,18,3300
93,693,3,3200
153,499,1,4300
636,642,6,2000
119,248,1,3200
952,45,1,2400
661,818,1,3600
140,165,5,3400
846,668,2,2900
645,562,1,4100
775,734,1,3000
355,226,1,2900
257,125,1,2400
580,359,1,4200
43,679,1,3800
591,354,3,2400
795,741,3,3800
189,425,1,2500
966,405,3,3300
53,998,1,3100
296,164,4,2700
844,189,1,3100
936,691,1,4400
787,878,1,4400
604,59,1,3000
497,994,497,1800
331,392,1,3900
643,236,1,4700
681,720,3,3000
982,626,2,3500
586,790,2,4400
832,538,2,3700
313,866,1,3600
700,163,1,3200
118,15,1,2400
349,386,1,3200
519,56,1,3200
242,927,1,3500
108,560,4,2700
583,257,1,4400
202,448,2,3500
422,36,2,3200
241,10,1,1600
200,567,1,3200
57,132,3,2400
725,857,1,3500
739,147,1,2400
267,467,1,3100
624,304,16,1800
170,35,5,2400
713,19,1,2600
682,216,2,2900
112,796,4,2400
960,137,1,1600
121,103,1,3600
316,287,1,3400
910,65,65,1200
353,82,1,3200
148,230,2,3400
853,588,1,3600
548,337,1,4100
933,413,1,3200
945,6,3,1600
120,73,1,3200
47,981,1,3300
76,70,2,2400
690,435,15,3400
272,638,2,3900
605,278,1,2800
938,592,2,4300
101,594,1,3600
917,306,1,2400
508,982,2,3400
520,675,5,3600
743,527,1,4100
21,85,1,2100
734,176,2,2900
285,341,1,2800
115,61,1,3100
650,925,25,3100
91,507,13,2800
996,663,3,2800
22,480,2,2800
822,123,3,3000
957,827,1,4200
741,897,39,2900
708,60,12,2100
173,509,1,3200
14,546,14,1600
89,289,1,2400
557,617,1,3600
850,954,2,3600
425,352,1,4400
523,464,1,3900
610,383,1,3300
28,901,1,3100
256,250,2,2400
365,629,1,5400
84,227,1,3800
595,606,1,2400
719,767,1,2800
840,421,1,2600
647,930,1,3500
543,43,1,3200
712,232,8,2000
578,887,1,5400
905,374,1,4700
276,294,6,2500
280,780,20,3400
63,319,1,2900
335,888,1,4100
233,384,1,3900
841,733,1,4100
940,986,2,3300
692,880,4,3500
592,275,1,3900
400,809,1,2700
190,755,5,2600
651,931,7,2900
61,404,1,3900
450,599,1,3200
942,251,1,3200
428,124,4,2800
312,38,2,2600
924,141,3,2800
954,283,1,4200
95,491,1,2900
760,5,5,1200
67,639,1,3200
744,129,3,2800
29,198,1,3200
789,367,1,3000
23,108,1,3100
30,330,30,1700
851,159,1,3200
714,237,3,1700
379,965,1,4500
574,27,1,2500
956,969,1,3200
475,241,1,2900
373,292,1,4000
275,346,1,3900
899,551,29,3500
539,351,1,3600
570,697,1,3500
925,757,1,3300
568,678,2,2700
426,545,1,5000
445,627,1,3100
903,591,3,3700
569,547,1,2800
983,979,1,2400
843,613,1,3400
394,898,2,4400
283,973,1,3900
753,111,3,3500
375,80,5,2400
234,500,2,2800
506,650,2,3600
549,105,3,2800
935,689,1,3100
516,920,4,4600
198,219,3,2900
562,37,1,2500
420,64,4,3000
852,518,2,4000
237,170,1,3200
704,607,1,3600
344,256,8,2400
107,537,1,2400
183,781,1,3900
703,145,1,3700
68,338,2,2500
192,271,1,3200
105,556,1,3800
337,643,1,4000
809,654,1,4200
686,262,2,4800
113,630,1,4400
736,401,1,2900
436,483,1,4400
947,978,1,3900
715,791,1,4100
904,418,2,2900
705,348,3,2400
907,380,1,4500
556,742,2,2700
259,93,1,3700
279,680,1,3200
970,23,1,2400
738,505,1,3100
862,101,1,3500
897,610,1,2900
526,785,1,3700
459,274,1,3900
444,303,3,3300
168,766,2,3900
988,282,2,2400
417,471,3,4000
823,24,1,2400
352,625,1,3800
377,792,1,3600
676,962,26,3600
860,430,430,1300
629,21,1,2100
833,366,1,3900
130,441,1,4300
585,53,1,2200
858,874,2,8600
158,717,1,3500
215,933,1,71300
943,182,1,16500
229,800,1,7300
157,39,1,4100
758,276,2,7600
688,7,1,6800
698,280,2,7000
499,449,1,5500
900,825,75,2900
345,443,1,6800
469,456,1,3700
696,690,6,2800
201,867,3,4700
679,446,1,6700
248,826,2,4100
294,614,2,4600
247,861,1,4800
981,339,3,5600
397,277,1,4700
671,572,11,4900
934,293,1,4500
633,595,1,5300
463,506,1,6100
816,552,24,3600
501,333,3,4000
594,270,54,2800
642,463,1,7800
354,670,2,6000
273,311,1,5300
799,327,1,5300
66,409,1,4200
367,676,1,5400
255,412,1,7000
160,391,1,5800
102,9,3,2700
873,852,3,5000
514,542,2,5800
619,581,1,4700
607,368,1,7300
186,961,31,3600
830,903,1,7100
79,692,1,5700
814,247,1,6900
729,580,1,6300
750,674,2,7700
948,793,1,7500
999,763,1,7200
460,740,20,7000
214,118,2,6000
815,194,1,4800
310,177,1,5400
228,381,3,5500
561,377,1,5500
790,855,5,5800
290,68,2,6000
452,408,4,5500
995,3,1,4000
487,596,1,6800
96,514,2,7400
88,212,4,5900
542,862,2,8200
326,647,1,5200
669,895,1,5900
777,336,21,4500
559,325,13,6200
709,631,1,5000
44,929,1,6000
433,84,1,4300
144,44,4,5800
618,25,1,6400
86,949,1,5700
494,536,2,7300
778,29,1,5500
979,589,1,8300
896,943,1,6900
898,179,1,5600
967,452,1,7300
60,605,5,4000
128,953,1,6300
17,885,1,4800
646,272,34,5800
554,582,2,6600
721,576,1,5200
274,388,2,6700
336,858,6,8400
596,484,4,5000
602,71,1,4700
658,246,2,5700
155,865,5,7800
641,748,1,5000
987,846,141,3100
281,97,1,6400
877,11,1,7500
94,503,1,8800
577,326,1,8900
855,445,5,8200
430,991,1,9400
138,570,6,5900
100,805,5,4100
660,912,12,8600
77,645,1,8600
623,308,7,3900
103,322,1,6400
931,782,1,5700
481,317,1,7800
845,422,1,3100
764,225,1,7500
468,295,1,9200
480,657,3,7700
265,492,1,6900
980,290,10,6300
387,174,3,4900
74,114,2,8400
55,40,5,5700
24,213,3,5700
889,185,1,7000
565,726,1,7100
916,451,1,5800
204,453,3,5500
368,26,2,3700
483,440,1,6000
461,824,1,10100
911,88,1,6100
395,309,1,7600
847,554,1,6600
440,423,1,5400
834,711,3,8700
166,746,2,5000
538,985,1,8600
83,14,1,4700
614,966,2,8000
380,829,1,7100
537,353,1,7900
599,192,1,5600
154,932,2,5400
